rank,pair,token_x_mint,token_y_mint,non_wsol_mint,non_wsol_symbol,active_id,target_bin_id,bin_step,status,target_bin_array,target_bin_array_index,target_bin_index,wsol_side,target_bin_amount_x,target_bin_amount_y,target_bin_liquidity_supply,target_bin_open_order_amount,target_bin_is_empty,reserve_x_ui_amount,reserve_y_ui_amount,wsol_reserve_ui_amount,estimated_tvl_usdc,active_price_y_per_x,fair_price_y_per_x,implied_wsol_usdc_price,reference_wsol_usdc_price,wsol_discount_bps,wsol_is_cheap_for_arbers,token_volume_24h_usd
1,GFKumhM2jpxJxmmJtDvsCq8UKkpDmkRMkmPSPgE4gtKu,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,So11111111111111111111111111111111111111112,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,ADX,-31,-32,400,0,GQeoqADgzu4jiTWmtifFTud4fthULLXaFDezKTSZFaK9,-1,38,y,0,0,0,0,true,2805.900078000000,0.662911125000,0.662911125000,119.566406,0.000285057940,0.000009960862,3.151285,90.182832,-9651,true,532.493951
2,W23qng2pyW1ChvgztFB6tabaPUPHKLX6BWCwZmyG1c2,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,So11111111111111111111111111111111111111112,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,FRAG,-974,-975,80,0,FchXbHQ7gCWkCBxTDfiyvdwsKWQKUw7WANL9XEgKd5oK,-14,5,y,0,0,0,0,true,35.739550200000,0.011251884000,0.011251884000,2.029454,0.000422650311,0.000023866136,5.092427,90.182832,-9435,true,2958.379511
3,EDkCGZCsfx4A9TyzJ6aWwr26ycXs1h6dnejoAdtNbsES,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,So11111111111111111111111111111111111111112,FRAGMEWj2z65qM62zqKhNtwNFskdfKs4ekDUDX3b4VD5,FRAG,-3966,-3967,20,0,FeULeoMgfPkAC9HYePnn1JZKEgqT4bm2udHPXcWbP92x,-57,23,y,0,0,0,0,true,1071.993137999000,0.466555345000,0.466555345000,84.150565,0.000361200785,0.000023866136,5.958779,90.182832,-9339,true,2958.379511
4,4q7C7AtekYbMgTHdPp1ZVC7bjpZquCaf8AJU2gaZMW1s,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,So11111111111111111111111111111111111111112,LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc,LAYER,-109,-110,400,0,CEkFLTcNdxWJ3uSy41AAN4EXwJaAkJquADDnUN4JsB8Z,-2,30,y,0,0,0,0,true,8.198959124000,0.040221754000,0.040221754000,7.254623,0.013376197642,0.000890196158,6.001736,90.182832,-9334,true,272.629561
5,5CffB8PQH1edyqH5g7Pd2cMp75Eog5VMV758xkLHPHF9,STBuyENwJ1GP4yNZCjwavn92wYLEY3t5S1kVS5kwyS1,So11111111111111111111111111111111111111112,STBuyENwJ1GP4yNZCjwavn92wYLEY3t5S1kVS5kwyS1,STB,-1084,-1085,80,0,BHerKQxMRLQvN7Q9KRpNzjmmoWFnMX3RSVk2ybUWzAU3,-16,35,y,0,0,0,0,true,79.651594803000,0.014758683000,0.014758683000,2.661960,0.000175923016,0.000012632002,6.475501,90.182832,-9282,true,1738.774393
6,Cee2yVi7dCWxmQUeLyxV4Q2STymc6ZJ7G53qnP1PhcGc,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,So11111111111111111111111111111111111111112,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,ADX,-202,-203,100,0,Eu7Vjud1N2m2LDNYAzMqPEPKZmHA3RhSSM5WSzX7DBs4,-3,7,y,0,0,0,0,true,844.565512000000,0.063247264000,0.063247264000,11.407635,0.000132666454,0.000009960862,6.771107,90.182832,-9249,true,532.493951
7,8ukxELJzJVQNt34wnBqWHmcbBZt12KsTUHJUpvTqSoRs,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,So11111111111111111111111111111111111111112,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,138,137,200,0,FK59oXfuGwsxPT31PFZw797PdNUDi6uoX6zAk8UTUbDv,1,67,y,0,0,0,0,true,1.534167000000,0.031879851000,0.031879851000,5.750031,0.015073827165,0.001285838611,7.692842,90.182832,-9147,true,204072.838182
8,3je3Bp8xHGFbt3T3auAciGWkSAxV9xsDxQhXx1LDHvdx,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,So11111111111111111111111111111111111111112,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,363,362,75,0,DW43LXLJpyJSVoTKHt9qsV7anxJyh2kUDqDrc61Ym3YL,5,12,y,0,0,0,0,true,54.515574000000,0.007549906000,0.007549906000,1.361744,0.014952363360,0.001285838611,7.755334,90.182832,-9140,true,204072.838182
9,qtTrqruNgr3Wqd5U2EmyZrcB5KCceNgZJDsPxapgSff,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,So11111111111111111111111111111111111111112,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,ADX,-275,-276,80,0,E2x6CHrz4NBxMotYEFsGDaT9qq96z1XGFHLWLfLYFfQY,-4,4,y,0,0,0,0,true,422.757171000000,0.055660599000,0.055660599000,10.039261,0.000110890193,0.000009960862,8.100795,90.182832,-9102,true,532.493951
10,Hn4DhXKcTBQFCYDYzDGCMED9nb97vz1kPZjtNmFibcGQ,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,So11111111111111111111111111111111111111112,AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw,ADX,-117,-118,200,0,56XHgqiR3LhZq4RMJ8w4gYf6cnyGWoFayfqSg8tUUtFP,-2,22,y,0,0,0,0,true,1569.554736000000,0.241838448000,0.241838448000,43.619352,0.000096645076,0.000009960862,9.294822,90.182832,-8969,true,532.493951
11,4cEMEVJ9QKLdMSqvePPUF1ZXRK56xez8EzZx7qine1wi,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,So11111111111111111111111111111111111111112,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,PRCL,178,177,25,0,bKzxQrmHyALf8Ty3rLwAGdb5ghYdssf3KQ4MzZNry5w,2,37,y,0,0,0,0,true,1281.664894000000,0.205459893000,0.205459893000,37.057910,0.001555734521,0.000168158403,9.747808,90.182832,-8919,true,19178.400823
12,Hn3kYbBZ6aRQuLBEs6QTSTyQ2hx2r6PvJoK4HjY2NrEa,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,So11111111111111111111111111111111111111112,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,PRCL,19,18,200,0,sSjvBpBJ87amtHQ2WuqaEC1MzAwXTpZ33jzQnjZfJqY,0,18,y,0,0,0,0,true,20.439405000000,0.055228017000,0.055228017000,9.961238,0.001428246248,0.000168158403,10.617918,90.182832,-8823,true,19178.400823
13,4v5i9uquPvgXfE6HDZV3qqXYaKeUfMjXC9bQm8hn8DMu,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,So11111111111111111111111111111111111111112,4LLbsb5ReP3yEtYzmXewyGjcir5uXtKFURtaEUVC2AHs,PRCL,33,32,100,0,5QdsRMA9FT5HrgiD2mmbwVWrYyvJDqDYCH5iM1d6U5B2,0,32,y,0,0,0,0,true,9.823810000000,0.015131018000,0.015131018000,2.729116,0.001374940679,0.000168158403,11.029568,90.182832,-8777,true,19178.400823
14,8mvb1k5GWf977PtM9nNDADVaeiBfwBYbrUw4WR2pss9N,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,So11111111111111111111111111111111111111112,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,PYTH,582,581,25,0,Fm1J8FRggHRAc1WyHjPMXFAYkRb7a4NDDRaKLYCLdBPH,8,21,y,0,0,0,0,true,106.654301000000,0.023005268000,0.023005268000,4.149360,0.004266045968,0.000522001586,11.034945,90.182832,-8776,true,99654.188229
15,GQCtxJo7tTCprRLssJ3NWG6NhD24TUu7a6ZaoFauuXe5,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,So11111111111111111111111111111111111111112,MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u,ME,116,115,200,0,ChWmJXfYb3WbYYDBNtbgSVY3hq7T1Xwh9QML9XEfZZGj,1,45,y,0,0,0,0,true,239.906558000000,0.344307101000,0.344307101000,62.101179,0.009750339833,0.001285838611,11.892977,90.182832,-8681,true,204072.838182
